tweet,time,retweets,location
"@Hezzzz21 @GrtCdnNeckbeard @CountDankulaTV At least it's honest enough to say that Covid is only worse than the Flu in ""some people."" 😂🤡👍",2021-04-15 13:09:11,0,
"RT @GMMTV: “นนน-กรภัทร์ เกิดพันธุ์” ได้เข้ารับการตรวจหาเชื้อ COVID-19 ผลตรวจว่าพบเชื้อ COVID-19

#GMMTV https://t.co/OAcf66h1Ch",2021-04-15 13:09:11,5012,"กรุงเทพมหานคร, ประเทศไทย"
"RT @Trelkowsky2: Grazie ai vaccini sono calati i morti di Covid?
No, grazie all'OMS che dopo un anno ha deciso di ridurre i cicli di PCR",2021-04-15 13:09:11,1,
"RT @ippatel: UP के निवासी जो covid+ हैं वे UP Govt का UP Home Isolation एप्प install करें।

आपके जनपद के CMO office में बने कंट्रोल रूम से…",2021-04-15 13:09:11,1563,"Ayodhya, India"
"RT @sulsitodisimone: Il rischio di trombosi è più alto con il Covid che con il vaccino, dice l'Università di Oxford https://t.co/yL2MbDHVHe",2021-04-15 13:09:11,1,
RT @OdishaNewsTune: SAIL’s Rourkela Super Specialty Hospital to be used as Covid Care Hospital   – Odisha News Tune https://t.co/eyk7GUX0Xk…,2021-04-15 13:09:11,1,"Rourkela, Odisha"
"RT @richar1979BC: Hablando en serio.
Uso mucho menos las RRSS desde que comenzó todo el tema del COVID.
No me hacia nada bien, pasar X tiem…",2021-04-15 13:09:11,7,"Eivissa, España"
RT @karyn_nishi: 学校運動会はCovid-19で「中止」だがオリンピックは開催OK。,2021-04-15 13:09:11,1152,Tokyo
Coronavirus en Brasil: ¿por qué tantos niños mueren en ese país por covid-19? https://t.co/6wwAC9pJU8,2021-04-15 13:09:11,0,"Washington, DC"
RT @Mippcivzla: #NotiMippCI 📰🗞| Ejecutivo Nacional dota a hospitales de equipos médicos para atender pacientes COVID-19. Lea más ⏩ https://…,2021-04-15 13:09:11,657,
"@tsnmike @PittCabe Yeah, that’s always the olive branch. Just a bit concerning how long ago that was. I also acknow… https://t.co/49zP5SfJBK",2021-04-15 13:09:11,0,dsostek@publicopinionnews.com
"RT @BCOOL333: How about that?👇

Some evangelical Christians say covid vaccine is the mark of the beast.",2021-04-15 13:09:11,66,"Topeka, KS"
RT @ProgIntl: BREAKING: A shock poll by @DataProgress and @ProgIntl finds that 60% of US voters want @POTUS to temporarily waive patent pro…,2021-04-15 13:09:11,272,Antwerp / Brussels (Belgium)
RT @Invesdoctor: ちなみにあまり報道されていませんが、大阪府では小児用ICUをつぶして成人COVID-19の重症者を引き受けている施設があります。,2021-04-15 13:09:10,634,ナニワ
"No space in hospitals, crematoriums in Gujarat: Horrific scenes from Covid-19 crisis in state #KumbhCorona,… https://t.co/PflaE35a3F",2021-04-15 13:09:10,0,"Chennai, Tamil Nadu"
RT @Limping_Chicken: New video aims to encourage Covid vaccine take-up by Deaf people from ethnic minorities https://t.co/J0Y1bByKL0,2021-04-15 13:09:10,8,
"RT @DammitDamini: 3 days completely off grid. First few things on my TL: 

• Kumbh Covid Spike 
• People desperately seeking beds in ICU, v…",2021-04-15 13:09:10,7,
